A N KINGPiiN Inspirational Bracelets for Women Inspirational Gift for Women Girls Men Motivational Birthday Cuff Bangle Friendship Personalized Mantra Jewelry Come Gift Box,12,"Simple and elegant mantra cuff bracelet, minimalist style, personalized Birthday gift, Christmas gift, Mother's day gift. This bracelet is ADJUSTABLE and will fit most wrist sizes. High polished cuff bracelet, shinne surface, very smooth with rounded edges to avoid scratch your wrist, clear engraved easily reading. Comes with cute gift box, uplifting message engraved.","[2.45, 3.0198773448773446, 3.0198773448773446, 2.45, 0.0, 0.0, 0.0, 0.0, 2.45, 0.0, 0.0]",15,/img/products/h001.jpg
"Rose Bear Women Gifts for Mom birthday girlfriend gifts for her , Rose Teddy Bear Rose Flowers Bear , Girls Valentines Bridal Wedding Anniversaries Birthday Graduation Gifts - Rose Bear with Box (red)",27,"rose bear Teddy bears are the kind of gift that brings a smile to any girl's face just about any day. It doesn  t even have to be a special occasion to gift this beautiful teddy bear covered in white roses. If you want to make your girlfriend or wife feel special  rose flowers. THE PERFECT GIFT: Rose Teddy Bear arrives gift-ready in a fully assembled, crystal clear window box wrapped with premium satin ribbon. roses ,rose teddy bear ,rose bear with box ,rose bears ,flower teddy bear,rose box,rose bear teddy. Rose Bear Amaze the special someone in your life with this unforgettable rose teddy bear that from every angle. Perfect for Girlfriends, Weddings, Anniversaries, Birthdays, Graduations, Valentine's Day,mother's day,rose bears for valentines. rose teddy bear.","[0.0, 6.067779543634878, 6.067779543634878, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",24,/img/products/h002.jpg
I Hope Your Day Is As Nice As Your Butt Keychain Boyfriend Girlfriend Gifts Keyring I Love You Wife Husband Gifts,7,"Hook and Loop closure. Material: Alloy,Pendant Size:2.5*2.5cm,Ring Size:2.5*2.5cm(0.98*0.98inch);So cute and perfect gift. I hope your day is as nice as my your butt keychain;If you want to bring smile even laugh for the one you love, please don't miss the funny gag gift,it will be a big surprise. Funny boyfriend girlfriend gift,husband wife gift,couple lover gift in any accasion, promotion 2020.Good present for Valentine's Day,Thanksgiving Day and Christmas ect.; best birthday anniversary gifts for women men","[3.180133755133755, 3.180133755133755, 3.180133755133755, 0.0, 0.0, 4.082646914048455, 0.0, 0.0, 4.959346420729069, 0.0, 0.0]",7,/img/products/h003.jpg
KING & QUEEN Matching Couple Hoodie Set His & Hers Hoodies,65,"50% Cotton, 50% Polyester. The perfect gift for couples. King & queen matching hoodies set. Great gift for valentine's day, wedding gifts, anniversary gifts, mom & dad gifts, his & hers gifts! Outstanding fabric quality! cozy hooded tops. The perfect match for fiance and fiancee , boyfriend & girlfriend - an absolute must have for couples! Cozy and warm matching couples sweatshirts - super comfy and super warm matching hoodies. Great for hubby & wifey Cute hoodie set fit for a king and a queen! official tstars merchandise","[2.5928571428571425, 2.5928571428571425, 0.0, 0.0, 0.0, 2.5928571428571425, 0.0, 0.0, 0.0, 3.481230723085292, 0.0]",21,/img/products/h004.jpg
Mud Pie Sequin Bride Tote Bag,20,100% Jute. Imported. Laminated wipe-clean interior and interior pocket. Measures 16x 24x 9.,"[0.0, 2.45, 2.45, 2.45, 0.0, 0.0, 0.0, 2.45, 0.0, 0.0, 0.0]",10,/img/products/h005.jpg
"Thoughtfully Gifts, Rum Cocktail Infusion Gift Set, Flavors Include Mojito, Caribbean Twist and Strawberry Daiquiri, Pack of 3 (Contains NO Alcohol)",20,"Thoughtfully Gifts, Rum Cocktail Infusion Gift Set, Flavors Include Mojito, Caribbean Twist and Strawberry Daiquiri, Pack of 3 (Contains NO Alcohol)","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18,/img/products/h006.jpg
"Chocolate Gift Basket , Gourmet Snack Food Box in Keepsake Tin, Great for Birthday, Sympathy, Family Parties & Get Well - Bonnie & Pop",35,"Great gift for families and corporate gifting alike. The right choice for multiple holidays like Christmas, Valentines Day, Easter, Hanukkah, Birthdays, Sympathy, Condolence, to say Thank You, I Love You, and everything in between. Don  t forget to add a gift message at checkout. Indulge in more than a delicious pound of assorted truffles. Including various White, Dark, and Milk Butter Pecan Patties, Cashew Clusters, Pretzel Clouds, Pecan Snappers, Sea Salt Caramels, English Toffee, Peppermint Patties, Bavarian Pretzels, Double Silk Truffles, Coconut Haystacks, and Peanut Clusters. Each chocolate arrives INDIVIDUALLY WRAPPED to promote hygiene safety, freshness and cleanliness for sharing. Keepsake tin is a remembrance long after the occasion and snacks are gone - send one to yourself.","[2.828968253968254, 2.828968253968254, 4.602779751370409, 0.0, 2.828968253968254, 2.828968253968254, 4.782953807600345, 0.0, 0.0, 0.0, 0.0]",5,/img/products/h007.jpg
Echo Dot (2nd Generation) - Smart speaker with Alexa - Black,21,"Echo Dot is a voice-controlled speaker that uses Alexa to play music, control smart home devices, make calls, answer questions, set timers and alarms, and more. Play music from Amazon Music, Apple Music, Spotify, Pandora, SiriusXM, TuneIn, and iHeartRadio. Call or message family and friends hands-free, or drop in from the Alexa App to your Echo device. Controls lights, locks, thermostats, and more with compatible connected devices. Use the built-in speaker, or for bigger sound, connect to speakers through Bluetooth or audio cable.","[2.5928571428571425, 2.5928571428571425, 2.5928571428571425, 9.891862804721734, 2.5928571428571425, 0.0, 0.0, 0.0, 0.0, 4.316417428961499, 0.0]",15,/img/products/h008.jpg
"All-new Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",35,"Meet the all-new Echo Dot - Our most popular smart speaker with Alexa. The sleek, compact design delivers crisp vocals and balanced bass for full sound. Voice control your entertainment - Stream songs from Amazon Music, Apple Music, Spotify, SiriusXM, and others. Play music, audiobooks, and podcasts throughout your home with multi-room music. Ready to help - Ask Alexa to tell a joke, play music, answer questions, play the news, check the weather, set alarms, and more. Control your smart home - Use your voice to turn on lights, adjust thermostats, and lock doors with compatible devices. Connect with others - Call almost anyone hands-free. ","[0.0, 0.0, 0.0, 4.782953807600345, 0.0, 0.0, 0.0, 0.0, 0.0, 23.613661969024, 0.0]",15,/img/products/h009.jpg
"SaltWorks Salts of the World Collection Gift Set, Premium Sea Salt, Set of 6, 39.8 Ounce",39,"PREMIUM SALT COLLECTION: From the beautiful turquoise waters off the coast of Mexico to France, this premium salt collection features six distinctly different flavors from around the world. THE PERFECT GIFT: Harvested from different regions of the world, this set of gourmet sea salts makes a great gift for someone special or yourself. SERIOUS ABOUT SALT: Perfect for cooking and grilling, SaltWorks offers a wide range of traditional salts, finishing salts, delicious smoked salts and organic peppercorns. COMMITTED TO QUALITY: SaltWorks is passionate about producing all-natural salts that are OU Kosher certified, organic compliant, non-GMO, chemical free, allergen free and gluten free","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.528705677296353, 0.0, 0.0, 0.0, 0.0]",30,/img/products/h010.jpg
